UNIQUE-ID	NAME
TU0-14696	rph
TU0-42530	agrB
TU0-8001	glnQ
TU0-8726	yeiG
TU00166	['entCEBA', 'ybdB']
TU00511	['tyrTV', 'tpr']
TU0-13749	ygdR
TU0-14112	yjbFGH
TU0-42593	ariR
TU0-13005	ybeF
TU27	eda
TU0-13405	yeaO
TU0-14156	bsmA
TU0-14622	rne
TU0-13047	ybhL
TU0-7162	['rfaQGPSBIJYZ', 'waaU']
TU0-45173	['ssrS', 'ygfA']
TU00109	carAB
TU0-13445	yecT
TU0-13689	alpA
TU0-14675	ydhYVWXUT
TU0-42508	leuL
TU0-7784	rstAB
TU0-8709	ydhQ
TU00150	exuT
TU00495	['valUXY', 'lysV']
TU0-13732	ygcW
TU0-14089	yijE
TU0-42569	serC
TU0-12989	ybdK
TU142	fixABCX
TU0-13386	nadE
TU0-14137	yjdIJ
TU0-14576	cspE
TU0-13031	abrB
TU0-6941	['rhoL', 'rho']
TU0-13429	yebV
TU00092	fabA
TU0-14652	rpoS
TU0-13669	yfhL
TU0-7581	polB
TU0-42480	gapA
TU00133	['srlAEBD', 'gutM', 'srlR', 'gutQ']
TU0-8692	yciN
TU0-13715	yqaBA
TU00479	['ptsHI', 'crr']
TU0-42543	nanA
TU0-14068	yihUTS
TU00519	proK
TU0-12969	exoD
TU0-14120	alr
TU871	queA
TU0-13013	hscC
TU0-13370	rprA
TU0-13413	['tsaB', 'yeaY']
TU0-14550	pspBCDE
TU0-14634	aspS
TU0-6683	ptrA
TU0-7262	moaBCDE
TU00076	araE
TU00117	bioBFCD
TU0-13651	ndk
TU0-13697	yfjV
TU0-42460	['rybA', 'mntS']
TU0-42516	ilvL
TU0-8676	ycbC
TU0-8718	yedA
TU00463	ppiA
TU00503	['argX', 'hisR', 'leuT', 'proM']
TU0-14051	rmuC
TU0-14101	sroH
TU0-12951	hemH
TU0-12997	rna
TU793	torR
TU0-13395	yeaC
TU0-13354	mliC
TU0-14613	iraP
TU0-14528	['rrlB', 'rrfB']
TU0-7021	['hcp', 'hcr']
TU0-6631	tyrP
TU00100	cydAB
TU00060	pyrC
TU0-13679	['yfiR', 'dgcN', 'yfiB']
TU0-13634	eutHA
TU0-42493	cspI
TU0-4205	['yqjA', 'mzrA']
TU0-8701	ydcK
TU0-8657	yqhC
TU00487	['rpoN', 'hpf', 'ptsN', 'yhbJ', 'npr']
TU00445	clpA
TU0-14076	kdgT
TU0-14034	ppiC
TU0-12979	ybcV
TU0-12933	queC
TU0-13378	nlpC
TU701	proVWX
TU0-14562	['mutL', 'miaA', 'hfq', 'hflXKC']
TU0-13336	ynfD
TU0-6843	nanCM
TU0-14509	gcvP
TU00084	rpoH
TU0-6557	['pyrG', 'eno']
TU0-13660	hcaT
TU00044	narGHJI
TU0-42470	recG
TU0-13616	ypeC
TU0-8684	comR
TU0-41795	ydeNM
TU00471	fliAZY
TU0-8640	yniB
TU0-14060	yihI
TU00428	lrhA
TU0-12961	ylbG
TU0-14018	dgoRKADT
TU841	cdd
TU0-12913	iraP
TU0-13362	ydhS
TU601	['yceD', 'rpmF']
TU0-14537	deoABD
TU0-13320	ynfN
TU0-6650	hisBHAFI
TU0-14487	['rrsE', 'gltV', 'rrlE', 'rrfE']
TU00068	tyrR
TU0-6506	hisS
TU0-13642	['yffB', 'dapE', 'ypfN']
TU00028	glnLG
TU0-42451	araFGH
TU0-13600	intS
TU0-8665	ytjC
TU0-3941	ftsQ
TU00453	endA
TU0-8622	yjhD
TU0-14043	yigGF
TU00410	fimB
TU0-12941	ylaC
TU0-14002	dinD
TU783	zraSR
TU0-12892	yahDEFG
TU0-13345	['ydgI', 'folM']
TU542	xthA
TU0-14518	dhaM
TU0-13302	dgcF
TU0-6583	agaSYBCDI
TU0-14464	nagC
TU00052	['phoA', 'psiF']
TU0-6425	manA
TU0-13625	['murQP', 'yfeW']
TU00012	aroP
TU0-4187	['fadD', 'sroD']
TU0-13583	yfbV
TU0-8648	yodD
TU0-36431	['kdsC', 'lptCAB']
TU00436	rpoD
TU0-8605	yigE
TU0-14026	cbrB
TU00394	stpA
TU0-12921	['nrdR', 'ribDE', 'nusB', 'thiL', 'pgpA']
TU0-13987	yiaY
TU67	xylAB
TU0-12876	paoABCD
TU0-13328	dicA
TU0-14495	yacG
TU0-6514	['serB', 'radA']
TU00036	lacZYA
TU0-13608	yfdE
TU0-4146	['hlpA', 'lpxD', 'fabZ', 'lpxA']
TU0-8631	ykgL
TU00419	clpPX
TU0-14010	nepI
TU0-12902	frmRAB
TU581	hlyE
TU0-13311	ydfH
TU0-14472	['yciSM', 'pyrF', 'yciH']
TU0-6483	bcp
TU00020	fhuACDB
TU0-13591	['folC', 'dedD']
TU0-3645	rutABCDEFG
TU0-8613	yjfY
TU00402	htpG
TU0-13995	['secB', 'gpsA']
TU0-12884	rclBC
TU0-13293	ydeQ
TU0-14451	['hcp', 'hcr']
TU0-6403	dapB
TU00004	argCBH
TU0-13575	yfbL
TU0-36420	phoU
TU0-8596	yidL
TU00001	aceBAK
TU0-13572	elaA
TU0-36417	glgAP
TU0-8593	yibT
TU00383	pflB
TU0-13975	eptB
TU0-12865	['insA2B2AB2', 'afuBC']
TU0-13272	curA
TU0-14413	eno
TU0-5903	glnAZ
TU0-8867	['yjjB', 'dnaTC', 'yjjA']
TU0-13556	radD
TU0-3561	asnW
TU0-8576	yhbQ
TU00366	['thrS', 'infC']
TU0-13955	yhiL
TU0-12847	yafJ
TU0-13255	hokB
TU0-14392	rydC
TU0-5564	['yggX', 'mltC', 'nupG']
TU0-8840	ivy
TU0-13538	preTA
TU0-3364	['rrsB', 'gltT', 'rrlB', 'rrfB']
TU0-8559	ybdL
TU00349	['rpsMKD', 'rpoA', 'rplQ']
TU0-13936	yhhW
TU0-1283	fur
TU0-13237	pinR
TU0-14370	aspT
TU0-5221	['pdxA', 'rsmA']
TU0-8824	micC
TU0-13519	metG
TU0-3103	trxA
TU0-8543	yafS
TU00331	rfbBDACX
TU0-13919	yheSTU
TU0-12811	['ppdD', 'hofBC']
TU0-13220	ynaJ
TU0-14350	mviM
TU0-12873	yagN
TU0-5021	uxaCA
TU0-13281	yddE
TU0-8809	helD
TU0-14423	ryfD
TU0-2562	exbD
TU0-6042	entS
TU0-8526	sseA
TU0-921	yceA
TU00312	otsBA
TU0-13564	['rpnE', 'ypaA']
TU0-13901	aaeXAB
TU0-36402	fhuF
TU0-12794	['mokC', 'hokC']
TU0-8585	yhhS
TU0-13203	yciW
TU00374	xylFGHR
TU0-14328	secG
TU0-13966	yhjC
TU0-4901	gadEF
TU0-12855	['ykfJ', 'prfH']
TU0-8788	dsrA
TU0-13264	sutR
TU0-2302	metNIQ
TU0-14403	cyaA
TU0-8508	ryeA
TU0-5682	['gadEF', 'mdtEF']
TU00295	['lgt', 'thyA']
TU0-8848	lit
TU0-13885	ispB
TU0-13548	yeiQ
TU0-1195	['dnaN', 'recF']
TU0-3425	bacA
TU0-14311	frwD
TU0-8567	ybiA
TU0-13180	ychS
TU00358	['sfsA', 'dksA']
TU0-4624	nfsB
TU0-13946	yhhT
TU0-8766	ais
TU0-12838	gmhB
TU0-198690	stfZ
TU0-13246	insI2
TU0-8491	pitA
TU0-14378	cynTS
TU00277	['rlmE', 'ftsH']
TU0-5481	['ynfEFGH', 'dmsD']
TU0-13868	yhaKL
TU0-8832	['insH', '10']
TU0-45160	['yrbN', 'deaD']
TU0-13528	yohO
TU0-1142	ptsG
TU0-3162	cydAB
TU0-14292	lptAB
TU0-8551	yaiY
TU0-13163	pdeG
TU00339	rpmBG
TU0-45278	['rpoE', 'rseABC']
TU0-13928	igaA
TU0-8749	ygfZ
TU0-1282	['fldA', 'uof', 'fur']
TU0-1803	pspF
TU0-13229	ydaGF
TU0-8474	rpsO
TU0-14359	rcsDB
TU00260	dnaKJ
TU0-5162	ulaABCDEF
TU0-13851	ygjI
TU0-8816	norR
TU0-4482	mngAB
TU0-2706	metJ
TU0-0	cysG
TU0-8535	uspC
